opposite sign                            	nevts: 771/447/664/585/2467
1	491	147004
1	491	147019
1	491	147023
1	491	147025
1	491	147029
1	491	147039
1	491	147056
1	491	147064
1	491	147069
1	491	147070
1	491	147071
1	491	147074
1	491	147095
1	491	147106
1	491	147114
1	491	147131
1	491	147136
1	491	147153
1	491	147156
1	491	147159
1	491	147162
1	491	147164
1	491	147165
1	491	147175
1	491	147195
1	491	147201
1	491	147203
1	491	147212
1	491	147225
1	491	147228
1	491	147247
1	491	147258
1	491	147261
1	491	147275
1	491	147285
1	491	147292
1	497	148802
1	497	148811
1	497	148819
1	497	148829
1	497	148849
1	497	148872
1	497	148889
1	497	148894
1	497	148896
1	497	148907
1	497	148922
1	497	148931
1	497	148932
1	497	148940
1	497	148972
1	497	148981
1	497	148984
1	497	148986
1	497	148993
1	497	148999
1	497	149009
1	497	149013
1	497	149017
1	497	149021
1	497	149026
1	497	149043
1	497	149067
1	497	149080
1	497	149082
1	497	149092
1	5562	1668001
1	5562	1668004
1	5562	1668021
1	5562	1668032
1	5562	1668037
1	5562	1668040
1	5562	1668050
1	5562	1668063
1	5562	1668072
1	5562	1668097
1	5562	1668099
1	5562	1668129
1	5562	1668132
1	5562	1668144
1	5562	1668151
1	5562	1668158
1	5562	1668186
1	5562	1668211
1	5562	1668228
1	5562	1668231
1	5562	1668238
1	5562	1668270
1	5562	1668283
1	5562	1668294
1	6002	1800026
1	6002	1800041
1	6002	1800052
1	6002	1800132
1	6002	1800133
1	6002	1800138
1	6002	1800149
1	6002	1800155
1	6002	1800166
1	6002	1800173
1	6002	1800177
1	6002	1800179
1	6002	1800219
1	6002	1800223
1	6002	1800246
1	6002	1800252
1	6002	1800257
1	6002	1800270
1	6002	1800277
1	6002	1800293
1	6002	1800298
1	6055	1815901
1	6055	1815914
1	6055	1815917
1	6055	1815921
1	6055	1815941
1	6055	1815945
1	6055	1815948
1	6055	1815949
1	6055	1815960
1	6055	1815966
1	6055	1815981
1	6055	1816008
1	6055	1816026
1	6055	1816029
1	6055	1816036
1	6055	1816041
1	6055	1816050
1	6055	1816051
1	6055	1816056
1	6055	1816075
1	6055	1816086
1	6055	1816098
1	6055	1816103
1	6055	1816113
1	6055	1816117
1	6055	1816137
1	6055	1816154
1	6055	1816160
1	6055	1816167
1	6055	1816170
1	6055	1816173
1	6055	1816177
1	6055	1816181
1	6055	1816195
1	6062	1818017
1	6062	1818027
1	6062	1818032
1	6062	1818039
1	6062	1818042
1	6062	1818043
1	6062	1818060
1	6062	1818069
1	6062	1818075
1	6062	1818078
1	6062	1818099
1	6062	1818106
1	6062	1818107
1	6062	1818110
1	6062	1818132
1	6062	1818144
1	6062	1818162
1	6062	1818168
1	6062	1818186
1	6062	1818214
1	6062	1818219
1	6062	1818229
1	6062	1818231
1	6062	1818237
1	6062	1818240
1	6062	1818244
1	6062	1818249
1	6062	1818270
1	6062	1818282
1	6062	1818283
1	6062	1818284
1	6062	1818298
1	6073	1821315
1	6073	1821318
1	6073	1821332
1	6073	1821363
1	6073	1821367
1	6073	1821376
1	6073	1821388
1	6073	1821402
1	6073	1821418
1	6073	1821429
1	6073	1821439
1	6073	1821442
1	6073	1821444
1	6073	1821452
1	6073	1821466
1	6073	1821473
1	6073	1821490
1	6073	1821506
1	6073	1821543
1	6073	1821546
1	6073	1821557
1	6073	1821568
1	6073	1821589
1	6073	1821590
1	6073	1821594
1	6073	1821597
1	6128	1837803
1	6128	1837808
1	6128	1837825
1	6128	1837845
1	6128	1837854
1	6128	1837920
1	6128	1837921
1	6128	1837935
1	6128	1837942
1	6128	1837948
1	6128	1837951
1	6128	1837954
1	6128	1837966
1	6128	1837968
1	6128	1837975
1	6128	1837985
1	6128	1837997
1	6128	1838029
1	6128	1838035
1	6128	1838039
1	6128	1838049
1	6128	1838057
1	6128	1838059
1	6128	1838066
1	6128	1838083
1	6128	1838098
1	3555	1066010
1	3555	1066014
1	3555	1066024
1	3555	1066026
1	3555	1066032
1	3555	1066049
1	3555	1066052
1	3555	1066067
1	3555	1066073
1	3555	1066074
1	3555	1066077
1	3555	1066091
1	3555	1066109
1	3555	1066116
1	3555	1066117
1	3555	1066146
1	3555	1066154
1	3555	1066165
1	3555	1066172
1	3555	1066175
1	3555	1066187
1	3555	1066192
1	3555	1066196
1	3555	1066198
1	3555	1066215
1	3555	1066222
1	3555	1066245
1	3555	1066251
1	3555	1066253
1	3555	1066257
1	3555	1066276
1	3555	1066283
1	3555	1066285
1	3555	1066298
1	3557	1066602
1	3557	1066622
1	3557	1066624
1	3557	1066632
1	3557	1066644
1	3557	1066675
1	3557	1066711
1	3557	1066715
1	3557	1066733
1	3557	1066769
1	3557	1066777
1	3557	1066780
1	3557	1066783
1	3557	1066788
1	3557	1066816
1	3557	1066821
1	3557	1066830
1	3557	1066851
1	3557	1066857
1	3557	1066858
1	3557	1066875
1	3561	1067812
1	3561	1067822
1	3561	1067827
1	3561	1067846
1	3561	1067851
1	3561	1067876
1	3561	1067882
1	3561	1067884
1	3561	1067886
1	3561	1067892
1	3561	1067903
1	3561	1067909
1	3561	1067919
1	3561	1067943
1	3561	1067947
1	3561	1067953
1	3561	1067964
1	3561	1067967
1	3561	1067968
1	3561	1067976
1	3561	1067989
1	3561	1067990
1	3561	1067991
1	3561	1068009
1	3561	1068012
1	3561	1068013
1	3561	1068014
