no central jets                          	nevts: 9/5/17/11/42
1	5562	1668072
1	6002	1800173
1	6128	1838029
1	4313	1293555
1	4314	1293747
1	5815	1744031
1	5882	1764146
1	6164	1848755
1	13158	3946523
1	13158	3946653
1	13524	4056240
1	13735	4119417
1	13966	4188828
1	14013	4202877
1	7753	2325346
1	7758	2326804
1	7758	2326885
1	7768	2329721
1	7768	2329967
1	7770	2330358
1	7771	2330801
1	7771	2330865
1	7775	2331963
1	7835	2349868
1	7841	2351619
1	7842	2352014
1	9788	2935653
1	9788	2935765
1	9815	2943970
1	10233	3069089
1	10238	3070546
1	10238	3070704
1	10088	3025704
1	10204	3060501
1	10305	3090620
1	10305	3090854
1	10364	3108413
1	10364	3108474
1	10801	3239585
1	10980	3293353
1	10992	3296772
1	11103	3330036
