dPhiDiLepJet < 165 dg for ee/mm          	nevts: 180/94/308/297/879
1	491	147004
1	491	147023
1	491	147056
1	491	147064
1	491	147069
1	491	147071
1	491	147074
1	491	147114
1	491	147131
1	491	147156
1	491	147159
1	491	147195
1	491	147201
1	491	147225
1	491	147228
1	491	147247
1	491	147258
1	491	147261
1	497	148802
1	497	148811
1	497	148889
1	497	148896
1	497	148907
1	497	148940
1	497	148986
1	497	148993
1	497	149013
1	497	149067
1	497	149080
1	5562	1668037
1	5562	1668072
1	5562	1668099
1	5562	1668129
1	5562	1668186
1	5562	1668228
1	5562	1668283
1	5562	1668294
1	6002	1800041
1	6002	1800132
1	6002	1800173
1	6002	1800179
1	6002	1800219
1	6002	1800246
1	6002	1800257
1	6002	1800277
1	6002	1800293
1	6002	1800298
1	6055	1815901
1	6055	1815921
1	6055	1815945
1	6055	1815948
1	6055	1815960
1	6055	1816008
1	6055	1816050
1	6055	1816075
1	6055	1816086
1	6055	1816098
1	6055	1816117
1	6055	1816177
1	6062	1818042
1	6062	1818043
1	6062	1818069
1	6062	1818099
1	6062	1818162
1	6062	1818168
1	6062	1818270
1	6062	1818283
1	6062	1818284
1	6073	1821363
1	6073	1821402
1	6073	1821429
1	6073	1821444
1	6073	1821452
1	6073	1821466
1	6073	1821490
1	6073	1821543
1	6073	1821557
1	6073	1821568
1	6128	1837845
1	6128	1837920
1	6128	1837921
1	6128	1837935
1	6128	1837948
1	6128	1837951
1	6128	1837966
1	6128	1837975
1	6128	1838029
1	6128	1838057
1	6128	1838066
1	3555	1066049
1	3555	1066067
1	3555	1066073
1	3555	1066091
1	3555	1066109
1	3555	1066116
1	3555	1066192
1	3555	1066196
1	3557	1066733
1	3557	1066816
1	3557	1066830
1	3557	1066851
1	3561	1067846
1	3561	1067851
1	3561	1067892
1	3561	1067903
1	3561	1067909
1	3561	1067919
1	3561	1067989
1	3561	1067990
1	3561	1068014
1	3561	1068072
1	3565	1069004
1	3565	1069053
1	3565	1069108
1	3565	1069122
1	3565	1069130
1	3565	1069211
1	3565	1069213
1	3565	1069225
1	3565	1069242
1	3565	1069274
1	4299	1289204
1	4299	1289277
1	4299	1289280
1	4299	1289293
1	4299	1289331
1	4299	1289348
1	4299	1289360
1	4299	1289380
1	4299	1289418
1	4299	1289425
1	4299	1289471
1	4299	1289474
1	4299	1289487
1	4306	1291302
1	4306	1291312
1	4306	1291319
1	4306	1291323
1	4306	1291413
1	4306	1291418
1	4306	1291426
1	4306	1291427
1	4306	1291493
1	4306	1291496
1	4306	1291532
1	4306	1291534
1	4306	1291568
1	4306	1291570
1	4306	1291586
1	4307	1291604
1	4307	1291707
1	4307	1291760
1	4307	1291768
1	4307	1291809
1	4309	1292218
1	4309	1292346
1	4309	1292364
1	4309	1292391
1	4309	1292454
1	4309	1292489
1	4309	1292491
1	4312	1293215
1	4312	1293222
1	4312	1293238
1	4312	1293264
1	4312	1293332
1	4312	1293361
1	4312	1293387
1	4313	1293430
1	4313	1293432
1	4313	1293492
1	4313	1293516
1	4313	1293521
1	4313	1293555
1	4313	1293624
1	4313	1293673
1	4314	1293711
1	4314	1293747
1	4314	1293769
1	4314	1293786
1	4314	1293835
1	4314	1293839
1	4314	1293862
1	4314	1293873
1	4314	1293884
1	4314	1293899
1	4314	1293947
1	4314	1293970
1	4314	1293991
1	4314	1293995
1	4315	1294014
1	4315	1294037
1	4315	1294101
1	4315	1294164
1	4315	1294218
1	4315	1294220
1	4315	1294232
1	4315	1294269
1	5815	1743910
1	5815	1743919
1	5815	1743920
1	5815	1743944
1	5815	1743966
1	5815	1743968
1	5815	1744005
1	5815	1744031
1	5815	1744035
1	5815	1744044
1	5815	1744112
1	5815	1744123
1	5815	1744135
1	5815	1744141
1	5815	1744177
1	5815	1744188
1	5815	1744200
1	5882	1764020
1	5882	1764047
1	5882	1764050
1	5882	1764054
1	5882	1764075
1	5882	1764086
1	5882	1764114
1	5882	1764116
1	5882	1764124
1	5882	1764134
1	5882	1764146
1	5882	1764166
1	5882	1764174
1	5882	1764222
1	5882	1764242
1	5882	1764244
1	5885	1764903
1	5885	1764912
1	5885	1764931
1	5885	1764940
1	5885	1765051
1	5885	1765056
1	5885	1765070
1	5885	1765104
1	5885	1765142
1	5885	1765200
1	5886	1765261
1	5886	1765412
1	5886	1765464
1	5886	1765482
1	5887	1765517
1	5887	1765575
1	5887	1765580
1	5887	1765599
1	5887	1765602
1	5887	1765647
1	5887	1765658
1	5887	1765660
1	5887	1765753
1	5887	1765777
1	5887	1765787
1	5887	1765796
1	6100	1829419
1	6100	1829423
1	6100	1829446
1	6100	1829481
1	6100	1829524
1	6100	1829530
1	6100	1829552
1	6100	1829564
1	6100	1829573
1	6100	1829574
1	6100	1829600
1	6100	1829631
1	6100	1829680
1	6100	1829689
1	6164	1848606
1	6164	1848612
1	6164	1848642
1	6164	1848670
1	6164	1848682
1	6164	1848705
1	6164	1848720
1	6164	1848727
1	6164	1848755
1	6164	1848756
1	6164	1848766
1	6164	1848825
1	6164	1848862
1	6164	1848900
1	6171	1850746
1	6171	1850748
1	6171	1850770
1	6171	1850786
1	6171	1850795
1	6171	1850801
1	6171	1850811
1	6171	1850870
1	6171	1850901
1	6171	1850932
1	7126	2137124
1	7126	2137132
1	7126	2137178
1	7126	2137248
1	7126	2137253
1	7126	2137311
1	7126	2137354
1	7126	2137362
1	12268	3679428
1	12268	3679517
1	12268	3679522
1	12268	3679545
1	12268	3679547
1	12268	3679552
1	12268	3679568
1	12268	3679696
1	13158	3946413
1	13158	3946417
1	13158	3946429
1	13158	3946448
1	13158	3946452
1	13158	3946485
1	13158	3946487
1	13158	3946508
1	13158	3946523
1	13158	3946529
1	13158	3946539
1	13158	3946569
1	13158	3946583
1	13158	3946603
1	13158	3946632
1	13158	3946653
1	13158	3946689
1	13524	4056155
1	13524	4056200
1	13524	4056218
1	13524	4056240
1	13524	4056268
1	13524	4056290
1	13524	4056322
1	13524	4056327
1	13524	4056343
1	13524	4056347
1	13524	4056360
1	13641	4091208
1	13641	4091210
1	13641	4091220
1	13641	4091234
1	13641	4091251
1	13641	4091262
1	13641	4091277
1	13641	4091281
1	13641	4091282
1	13641	4091303
1	13641	4091317
1	13641	4091345
1	13641	4091348
1	13641	4091413
1	13641	4091428
1	13735	4119407
1	13735	4119417
1	13735	4119425
1	13735	4119446
1	13735	4119470
1	13735	4119487
1	13735	4119497
1	13735	4119520
1	13735	4119524
1	13735	4119528
1	13735	4119535
1	13735	4119548
1	13735	4119583
1	13735	4119584
1	13735	4119587
1	13735	4119609
1	13735	4119625
1	13735	4119645
1	13735	4119647
1	13966	4188757
1	13966	4188800
1	13966	4188828
1	13966	4188847
1	13966	4188859
1	13966	4188921
1	13966	4188936
1	13966	4188945
1	13966	4188946
1	13966	4188976
1	13966	4188994
1	14013	4202864
1	14013	4202877
